Row ID,Order ID,Order Date,Customer ID,Customer Name,Country,City,State,Postal Code,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit
18,CA-2014-167164,5/13/2014,AG-10270,Alejandro Grove,United States,West Jordan,Utah,84084,Anna Andreadi,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,0,55.5,2,0.0,9.99
25,CA-2015-106320,9/25/2015,EB-13870,Emily Burns,United States,Orem,Utah,84057,Anna Andreadi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,0,1044.63,3,0.0,240.26
38,CA-2015-117415,12/27/2015,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Kelly Williams,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",0,113.33,9,0.2,35.42
39,CA-2015-117415,12/27/2015,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Kelly Williams,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",0,532.4,3,0.32,-46.98
40,CA-2015-117415,12/27/2015,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Kelly Williams,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",0,212.06,3,0.3,-15.15
41,CA-2015-117415,12/27/2015,SN-20710,Steve Nguyen,United States,Houston,Texas,77041,Kelly Williams,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,0,371.17,4,0.2,41.76
43,CA-2016-101343,7/17/2016,RA-19885,Ruben Ausman,United States,Los Angeles,California,90049,Anna Andreadi,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",0,77.88,2,0.0,3.89
48,CA-2016-169194,6/20/2016,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,0,45.0,3,0.0,4.95
49,CA-2016-169194,6/20/2016,LH-16900,Lena Hernandez,United States,Dover,Delaware,19901,Chuck Magee,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",0,21.8,2,0.0,6.1
56,CA-2016-111682,6/17/2016,TB-21055,Ted Butterfield,United States,Troy,New York,12180,Chuck Magee,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,1,208.56,6,0.0,52.14
