Row ID,Order ID,Order Date,Customer ID,Customer Name,Country,City,State,Postal Code,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit
2,CA-2016-152156,8/11/2016,CG-12520,Claire Gute,United States,Henderson,Kentucky,42420,Cassandra Brandow,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",0,731.94,3,0.0,219.58
3,CA-2016-138688,12/6/2016,DV-13045,Darrin Van Huff,United States,Los Angeles,California,90036,Anna Andreadi,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,0,14.62,2,0.0,6.87
5,US-2015-108966,11/10/2015,SO-20335,Sean O'Donnell,United States,Fort Lauderdale,Florida,33311,Cassandra Brandow,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System,0,22.37,2,0.2,2.52
6,CA-2014-115812,9/6/2014,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,Anna Andreadi,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",0,48.86,7,0.0,14.17
7,CA-2014-115812,9/6/2014,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,Anna Andreadi,OFF-AR-10002833,Office Supplies,Art,Newell 322,0,7.28,4,0.0,1.97
8,CA-2014-115812,9/6/2014,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,Anna Andreadi,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone,0,907.15,6,0.2,90.72
10,CA-2014-115812,9/6/2014,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,Anna Andreadi,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,0,114.9,5,0.0,34.47
12,CA-2014-115812,9/6/2014,BH-11710,Brosina Hoffman,United States,Los Angeles,California,90032,Anna Andreadi,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,0,911.42,4,0.2,68.36
14,CA-2016-161389,5/12/2016,IM-15070,Irene Maddox,United States,Seattle,Washington,98103,Anna Andreadi,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,0,407.98,3,0.2,132.59
16,US-2015-118983,11/22/2015,HP-14815,Harold Pawlan,United States,Fort Worth,Texas,76106,Kelly Williams,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,0,2.54,3,0.8,-3.82
17,CA-2014-105893,11/11/2014,PK-19075,Pete Kriz,United States,Madison,Wisconsin,53711,Kelly Williams,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",0,665.88,6,0.0,13.32
19,CA-2014-143336,8/27/2014,ZD-21925,Zuschuss Donatelli,United States,San Francisco,California,94109,Anna Andreadi,OFF-AR-10003056,Office Supplies,Art,Newell 341,1,8.56,2,0.0,2.48
22,CA-2016-137330,9/12/2016,KB-16585,Ken Black,United States,Fremont,Nebraska,68025,Kelly Williams,OFF-AR-10000246,Office Supplies,Art,Newell 318,0,19.46,7,0.0,5.06
23,CA-2016-137330,9/12/2016,KB-16585,Ken Black,United States,Fremont,Nebraska,68025,Kelly Williams,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",0,60.34,7,0.0,15.69
25,CA-2015-106320,9/25/2015,EB-13870,Emily Burns,United States,Orem,Utah,84057,Anna Andreadi,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,0,1044.63,3,0.0,240.26
26,CA-2016-121755,1/16/2016,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049,Anna Andreadi,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,0,11.65,2,0.2,4.22
27,CA-2016-121755,1/16/2016,EH-13945,Eric Hoffmann,United States,Los Angeles,California,90049,Anna Andreadi,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,0,90.57,3,0.0,11.77
